,timestamp,packed,latfrac,lonfrac,ox,oy,oz,flight_state,o2,o3,voltage,current,temp,flip_status,time,sec,sats,gps_speed,gps_alt
130,131.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,122,32,8.19,0,29,255,19:19:32,69572,3,2,2822
131,132.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,146,55,8.2,0,29,255,19:19:32,69572,3,2,2822
132,133.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,114,165,8.19,0,29,255,19:19:32,69572,3,2,2822
133,134.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,90,216,8.19,0,29,255,19:19:32,69572,3,2,2822
134,135.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,10,161,8.19,0,29,255,19:19:32,69572,3,2,2822
135,136.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,14,227,8.19,0,29,255,19:19:32,69572,3,2,2822
136,137.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,80,115,8.19,0,29,255,19:19:32,69572,3,2,2822
137,138.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,250,238,8.19,0,29,255,19:19:32,69572,3,2,2822
138,139.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,187,180,8.2,0,29,255,19:19:32,69572,3,2,2822
139,140.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,74,112,8.19,0,29,255,19:19:32,69572,3,2,2822
140,141.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,148,120,8.2,0,29,255,19:19:32,69572,3,2,2822
141,142.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,54,246,8.19,0,29,255,19:19:32,69572,3,2,2822
142,143.998,3177291737077590848,0,0,0.015748031496062992,-0.05511811023622047,-0.9921259842519685,Flight,90,254,8.2,0,29,255,19:19:32,69572,3,2,2822
143,144.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,4,132,8.19,0,29,255,19:19:32,69572,3,2,2822
144,145.9979,3177291737077590848,0,0,0.023622047244094488,-0.047244094488188976,-0.9921259842519685,Flight,175,8,8.2,0,29,255,19:19:32,69572,3,2,2822
145,146.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,133,214,8.19,0,29,255,19:19:32,69572,3,2,2822
146,147.9989,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,122,32,8.19,0,29,255,19:19:32,69572,3,2,2822
147,148.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,146,55,8.18,0,29,255,19:19:32,69572,3,2,2822
148,149.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,114,165,8.19,0,29,255,19:19:32,69572,3,2,2822
149,150.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,90,216,8.19,0,29,255,19:19:32,69572,3,2,2822
150,151.999,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,10,161,8.19,0,29,255,19:19:32,69572,3,2,2822
151,152.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,14,227,8.19,0,29,255,19:19:32,69572,3,2,2822
152,153.9978,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,80,115,8.18,0,29,255,19:19:32,69572,3,2,2822
153,154.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,250,238,8.18,0,29,255,19:19:32,69572,3,2,2822
154,155.9986,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,187,180,8.19,0,29,255,19:19:32,69572,3,2,2822
155,156.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,74,112,8.19,0,29,255,19:19:32,69572,3,2,2822
156,157.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,148,120,8.19,0,29,255,19:19:32,69572,3,2,2822
157,158.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,54,246,8.2,0,29,255,19:19:32,69572,3,2,2822
158,159.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,90,254,8.19,0,29,255,19:19:32,69572,3,2,2822
159,160.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,4,132,8.19,0,29,255,19:19:32,69572,3,2,2822
160,161.998,3177291737077590848,0,0,0.015748031496062992,-0.05511811023622047,-0.9921259842519685,Flight,175,8,8.19,0,29,255,19:19:32,69572,3,2,2822
161,162.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,133,214,8.19,0,29,255,19:19:32,69572,3,2,2822
162,163.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,122,32,8.19,0,29,255,19:19:32,69572,3,2,2822
163,164.998,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,146,55,8.19,0,29,255,19:19:32,69572,3,2,2822
164,165.9984,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,114,165,8.19,0,29,255,19:19:32,69572,3,2,2822
165,166.9979,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,90,216,8.19,0,29,255,19:19:32,69572,3,2,2822
166,167.9978,3177291737077590848,0,0,0.023622047244094488,-0.05511811023622047,-0.9921259842519685,Flight,10,161,8.19,0,29,255,19:19:32,69572,3,2,2822
