,timestamp,humidity,temperature,grim_voltage,grim_current,load_cell_voltage,load_cell_current,bat_voltage,bat_current
74,13529154,23.4287109375,26.389999389648438,3263.75,30.0,5002.5,65.0,7996.25,480.0
75,13530154,23.1357421875,26.149999618530273,3263.75,23.75,5002.5,63.75,7990.0,411.25
76,13531154,23.7216796875,26.200000762939453,3265.0,22.5,5003.75,83.75,7992.5,450.0
77,13532154,24.330078125,26.239999771118164,3266.25,20.0,5002.5,85.0,7967.5,428.75
78,13533154,24.6015625,26.079999923706055,3265.0,18.75,5003.75,63.75,7997.5,498.75
79,13534154,23.642578125,26.25,3266.25,18.75,5002.5,65.0,7977.5,458.75
80,13535154,24.5400390625,26.030000686645508,3257.5,36.25,5003.75,63.75,7983.75,507.5
81,13536154,25.734375,25.719999313354492,3260.0,26.25,5003.75,85.0,7988.75,410.0
82,13537154,24.7138671875,25.59000015258789,3265.0,22.5,5003.75,66.25,7977.5,466.25
83,13538154,25.373046875,25.709999084472656,3265.0,26.25,5003.75,65.0,8000.0,472.5
84,13539154,25.4345703125,25.56999969482422,3263.75,22.5,5003.75,65.0,7962.5,416.25
85,13540154,26.5146484375,25.350000381469727,3257.5,36.25,5002.5,65.0,7977.5,442.5
86,13541154,26.630859375,25.34000015258789,3261.25,23.75,5003.75,65.0,7975.0,411.25
87,13542154,27.1103515625,25.200000762939453,3263.75,23.75,5002.5,63.75,7997.5,470.0
88,13543154,27.3740234375,24.950000762939453,3265.0,21.25,5003.75,83.75,7987.5,417.5
89,13544154,27.94921875,25.059999465942383,3262.5,25.0,5002.5,63.75,7970.0,515.0
90,13545154,27.681640625,25.049999237060547,3265.0,22.5,5003.75,63.75,7975.0,408.75
91,13546154,28.17578125,24.959999084472656,3263.75,21.25,5003.75,65.0,7985.0,546.25
92,13547154,28.1064453125,24.969999313354492,3266.25,20.0,5003.75,83.75,7981.25,420.0
93,13548154,28.2783203125,24.93000030517578,3265.0,25.0,5003.75,83.75,7988.75,440.0
94,13549154,28.4951171875,24.690000534057617,3261.25,25.0,5002.5,65.0,7967.5,425.0
95,13550154,28.296875,25.040000915527344,3256.25,33.75,5003.75,63.75,7991.25,485.0
96,13551154,28.869140625,24.920000076293945,3265.0,21.25,5003.75,65.0,7981.25,420.0
97,13552154,28.3125,24.739999771118164,3266.25,21.25,5005.0,83.75,7987.5,463.75
98,13553154,29.3623046875,24.639999389648438,3263.75,25.0,5003.75,85.0,7972.5,415.0
99,13554154,28.9736328125,24.549999237060547,3263.75,26.25,5003.75,65.0,7987.5,433.75
100,13555154,28.8037109375,24.260000228881836,3265.0,21.25,5002.5,62.5,7992.5,418.75
101,13556154,29.044921875,24.40999984741211,3263.75,21.25,5003.75,65.0,7998.75,427.5
102,13557154,29.55078125,24.15999984741211,3260.0,23.75,5003.75,83.75,7980.0,462.5
103,13558154,29.52734375,23.989999771118164,3265.0,21.25,5002.5,65.0,7987.5,457.5
104,13559154,30.0634765625,24.030000686645508,3262.5,23.75,5002.5,66.25,7995.0,535.0
105,13560154,29.6953125,24.06999969482422,3263.75,28.75,5003.75,65.0,7981.25,431.25
106,13561154,30.3037109375,23.639999389648438,3265.0,21.25,5002.5,63.75,7991.25,431.25
107,13562154,30.1044921875,23.610000610351562,3265.0,18.75,5003.75,65.0,7970.0,427.5
108,13563154,31.0341796875,23.68000030517578,3256.25,35.0,5002.5,65.0,7992.5,485.0
109,13564154,30.908203125,23.700000762939453,3256.25,35.0,5002.5,83.75,7986.25,405.0
110,13565154,31.05859375,23.690000534057617,3263.75,30.0,5003.75,65.0,7987.5,425.0
111,13566154,31.7587890625,23.6200008392334,3265.0,22.5,5002.5,65.0,7993.75,415.0
112,13567154,31.6337890625,23.15999984741211,3262.5,20.0,5002.5,65.0,7972.5,428.75
113,13568154,31.9619140625,23.540000915527344,3265.0,22.5,5003.75,85.0,7990.0,465.0
114,13569154,31.7890625,23.559999465942383,3263.75,22.5,5003.75,82.5,7988.75,436.25
115,13570154,32.16796875,23.510000228881836,3265.0,20.0,5002.5,63.75,7995.0,446.25
116,13571154,32.5712890625,23.489999771118164,3265.0,20.0,5002.5,65.0,7990.0,418.75
117,13572154,32.3408203125,23.510000228881836,3263.75,23.75,5003.75,65.0,7985.0,463.75
118,13573154,32.564453125,23.239999771118164,3265.0,21.25,5003.75,83.75,7977.5,528.75
119,13574154,32.59375,23.489999771118164,3266.25,21.25,5003.75,82.5,7996.25,456.25
120,13575154,32.7421875,23.469999313354492,3266.25,21.25,5003.75,66.25,7972.5,400.0
121,13576154,33.6083984375,23.459999084472656,3265.0,21.25,5003.75,65.0,7983.75,493.75
122,13577154,32.8349609375,23.309999465942383,3262.5,23.75,5003.75,63.75,7980.0,483.75
123,13578154,34.056640625,23.280000686645508,3261.25,23.75,5002.5,65.0,7976.25,430.0
124,13579154,33.80078125,22.950000762939453,3263.75,22.5,5003.75,65.0,7997.5,433.75
125,13580154,33.3994140625,22.979999542236328,3265.0,20.0,5002.5,63.75,7987.5,416.25
126,13581154,33.9326171875,23.010000228881836,3262.5,26.25,5005.0,85.0,7992.5,422.5
127,13582154,34.970703125,23.010000228881836,3263.75,22.5,5003.75,65.0,7990.0,422.5
128,13583154,35.4765625,22.84000015258789,3263.75,21.25,5003.75,65.0,7963.75,428.75
129,13584154,36.1337890625,22.850000381469727,3265.0,26.25,5002.5,65.0,7988.75,487.5
130,13585154,36.9482421875,22.520000457763672,3263.75,20.0,5005.0,82.5,7988.75,483.75
131,13586154,37.5498046875,22.68000030517578,3257.5,35.0,5005.0,85.0,7978.75,415.0
132,13587154,36.4833984375,22.610000610351562,3265.0,21.25,5002.5,65.0,7995.0,432.5
133,13588154,37.2138671875,22.530000686645508,3266.25,28.75,5003.75,66.25,7986.25,436.25
134,13589154,37.7841796875,22.459999084472656,3257.5,32.5,5003.75,63.75,7972.5,426.25
135,13590154,37.7705078125,22.43000030517578,3265.0,22.5,5003.75,82.5,7992.5,490.0
136,13591154,37.833984375,22.229999542236328,3266.25,21.25,5003.75,82.5,7993.75,450.0
137,13592154,37.4921875,22.40999984741211,3265.0,22.5,5002.5,65.0,7997.5,425.0
138,13593154,37.8046875,22.43000030517578,3258.75,31.25,5002.5,63.75,7996.25,436.25
139,13594154,38.388671875,22.399999618530273,3265.0,20.0,5002.5,65.0,7997.5,392.5
140,13595154,38.8720703125,22.270000457763672,3265.0,21.25,5003.75,82.5,7987.5,458.75
141,13596154,39.15234375,22.309999465942383,3262.5,21.25,5002.5,62.5,7995.0,405.0
142,13597154,39.47265625,21.90999984741211,3263.75,22.5,5002.5,66.25,7987.5,466.25
